Song_artist,Song_duration_weeks,Song_isNew,Song_last_week,Song_peak,Song_rank,Song_title,categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,title,videoId,viewCount
Ariana Grande,6,FALSE,1,1,1,"Thank U, Next",10,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,663016,357697,0,8120132,"Ariana Grande - thank u, next",gl1aHhXnN1k,231732139
Halsey,10,FALSE,3,2,2,Without Me,10,UCm3FgJ2Hqm7tb70T-GfwXVA,HalseyVEVO,37929,25356,0,1157239,Halsey - Without Me,ZAfAud_M_mg,61464289
Travis Scott,19,FALSE,2,1,3,Sicko Mode,10,UClRx3MMyYUyqOxyEqA5F2nQ,TravisScottVEVO,126968,103542,0,2102760,Travis Scott - SICKO MODE ft. Drake,6ONRf7h3Mdk,169182559
Marshmello & Bastille,17,FALSE,4,3,4,Happier,10,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,213618,39980,0,2630802,Marshmello ft. Bastille - Happier (Official Music Video),m7Bc3pLyij0,127921439
Panic! At The Disco,19,FALSE,5,5,5,High Hopes,10,UColJTBTSGqaaZr5NOk5r3Pg,Panic! At The Disco,81771,32808,0,1534225,Panic! At The Disco - High Hopes (Official Video),IPXIgEAGe4U,109787227
Mariah Carey,28,FALSE,7,6,6,All I Want For Christmas Is You,10,UClS0wn3LPs9jdX_yt2g1k8w,MariahCareyVEVO,175093,113578,0,2257748,Mariah Carey - All I Want For Christmas Is You,yXQViqx6GMY,535714338
Post Malone & Swae Lee,8,FALSE,17,7,7,Sunflower (Spider-Man: Into The Spider-Verse),10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,78683,44637,0,1977996,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",ApXoWvfEYVU,163290858
Lil Baby & Gunna,13,FALSE,9,4,8,Drip Too Hard,10,UC_z9AthnCGSAk_tZf-KqoFA,Lil Baby - Topic,8120,21545,0,314598,Drip Too Hard,sqyNqxbCfO8,35780840
Kodak Black Featuring Travis Scott & Offset,9,FALSE,8,2,9,ZEZE,10,UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,91185,67280,0,1573876,Kodak Black - ZEZE (feat. Travis Scott & Offset) [Official Audio],mjaayCARwro,146080436
Maroon 5 Featuring Cardi B,29,FALSE,11,1,10,Girls Like You,10,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,457596,434539,0,11055211,Maroon 5 - Girls Like You ft. Cardi B,aJOTlE1K90k,1583535390
Gucci Mane X Bruno Mars X Kodak Black,13,FALSE,19,11,11,Wake Up In The Sky,10,UCSugZEYrWbzqIWGD195V-YA,OfficialGucciMane,63805,65784,0,1556526,"Gucci Mane, Bruno Mars, Kodak Black - Wake Up in The Sky [Official Music Video]",U68MJz9DrI4,122810820
Sheck Wes,16,FALSE,10,6,12,Mo Bamba,10,UCkHiy32HGV0qaB9nV9afdnQ,SheckWesVEVO,94391,72329,0,1676036,Sheck Wes - Mo Bamba,VWoIpDVkOH0,133111158
Andy Williams,8,FALSE,16,13,13,It's The Most Wonderful Time Of The Year,22,UCR-8egBOyVbj_bYXBkv43Ug,claudettecolbert60,7126,3397,0,74443,Andy Williams - It's The Most Wonderful Time Of The Year,gFtb3EtjEic,32114751
Ariana Grande,17,FALSE,12,12,14,Breathin,10,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,95748,42887,0,1886486,Ariana Grande - breathin,kN0iD0pI3o0,68557520
Bobby Helms,23,FALSE,26,15,15,Jingle Bell Rock,10,UCHvLu7FSnrBPzQYDMQY9nzw,craddock124,14831,11540,0,163667,Jingle Bell Rock- Lyrics,XpxNNalLTB4,59918761
"Benny Blanco, Halsey & Khalid",22,FALSE,18,16,16,Eastside,22,UCqrBKQHQVEvD2Q9FP0DCP2g,benny blanco,17583,46714,0,1247686,"benny blanco, Halsey & Khalid – Eastside (official video)",56WBK4ZK_cw,265753152
Meek Mill Featuring Drake,2,FALSE,6,6,17,Going Bad,10,UC9HlWVtENbiMQzVRmnbJxtw,Meek Mill,9464,6337,0,208371,Meek Mill - Going Bad feat. Drake [Official Audio],T3lKEb0Cs94,19390870
