Song_title,Song_artist,categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,tags,title,videoId,viewCount
"Thank U, Next",Ariana Grande,10,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,663016,357697,0,8120132,"['Ariana', 'Grande', 'thank', 'next', 'Republic', 'Records', 'Pop']","Ariana Grande - thank u, next",gl1aHhXnN1k,231732139
Without Me,Halsey,10,UCm3FgJ2Hqm7tb70T-GfwXVA,HalseyVEVO,37929,25356,0,1157239,"['halsey without me', 'halsey', 'without me', 'halsey alone', 'halsey eastside', 'eastside', 'hfk', 'hopeless fountain kingdom', 'halsey bad at love', 'bad at love', 'now or never', 'halsey now or never', 'halsey him & i', 'halsey strangers']",Halsey - Without Me,ZAfAud_M_mg,61464289
Sicko Mode,Travis Scott,10,UClRx3MMyYUyqOxyEqA5F2nQ,TravisScottVEVO,126968,103542,0,2102760,"['travis scott', 'sicko mode', 'sicko mode music video', 'sicko mode official video', 'sicko mode official', 'ASTROWORLD', 'ASTROWORLD official', 'Rodeo', 'Days Before Rodeo', 'La Flame', 'LaFlame', 'Birds in the Trap', 'Birds in the Trap Sing McKnight', 'Goosebumps', '3500', 'travis scott new music', 'astroworld new music', 'watch', 'butterfly effect', 'beibs in the trap', 'antidote', '21 savage', 'A$AP rocky', 'chief keef', 'A$AP mob', 'A$AP ferg', 'rae sremmurd', 'Epic/Grand Hustle/Cactus Jack']",Travis Scott - SICKO MODE ft. Drake,6ONRf7h3Mdk,169182559
Happier,Marshmello & Bastille,10,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,213618,39980,0,2630802,"['happier', 'marshmello', 'bastille', 'marshmello happier', 'happy', 'happier marshmello', 'happier music video', 'happier bastille', 'taki taki', 'music video', 'pop', 'ariana grande', 'zeze', 'miranda cosgrove', 'thank u next', 'happier lyrics', 'marshmello friends', 'top hits', 'pop music', 'puppy', 'astralwerks', 'imagine dragons', 'maroon 5', 'twenty one pilots', 'shawn mendes', 'calvin harris', 'alan walker', 'selena gomez', '2018', 'thank you next', '2019', 'for you', 'tik tok meme', 'sicko mode', 'family', 'ariana', 'grande', 'thank', 'next', 'dummy boy']",Marshmello ft. Bastille - Happier (Official Music Video),m7Bc3pLyij0,127921439
High Hopes,Panic! At The Disco,10,UColJTBTSGqaaZr5NOk5r3Pg,Panic! At The Disco,81771,32808,0,1534225,"['Panic! At The Disco', 'Panic At The Disco', 'Panic!', 'Brendon Urie', 'Brendon Urie Songs', 'High Hopes Music Video', 'High Hopes', 'Panic', 'Pray For The Wicked', 'Official Video', 'High High Hopes', 'Stay Up On That Rise', 'always had high high hopes', 'P!ATD', 'FBR', 'Fueled By Ramen', 'Kenny Harris', 'Nicole Row', 'Dan Pawlovich', 'Panic! At The Disco - High Hopes (Official Video)', 'High Hopes (Official Video)', 'Panic! At The Disco - High Hopes', 'panic at the disco high hopes', 'high hopes panic at the disco']",Panic! At The Disco - High Hopes (Official Video),IPXIgEAGe4U,109787227
All I Want For Christmas Is You,Mariah Carey,10,UClS0wn3LPs9jdX_yt2g1k8w,MariahCareyVEVO,175093,113578,0,2257748,"['mariah carey all i want for christmas is you extra festive', 'Mariah Carey All I Want For Christmas Is You live', 'without you', 'acoustic', 'hero', 'music', 'mariah carey all i want for christmas is you karaoke', 'infinity', 'we belong together', 'instrumental', 'Mariah Carey All I Want For Christmas Is You', 'obsessed', 'Mariah Carey', 'vevo', 'official', 'fantasy', 'download', 'Mariah Carey official', 'karaoke', 'remix', 'lyrics', 'mariah carey all i want for christmas is you cover']",Mariah Carey - All I Want For Christmas Is You,yXQViqx6GMY,535714338
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,78683,44637,0,1977996,"['Post', 'Malone', 'Swae', 'Lee', 'Sunflower', '(from', 'Spider-Man:', 'Into', 'the', 'Spider-Verse)', 'Universal', 'Records', 'Hip', 'Hop']","Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",ApXoWvfEYVU,163290858
Drip Too Hard,Lil Baby & Gunna,10,UC_z9AthnCGSAk_tZf-KqoFA,Lil Baby - Topic,8120,21545,0,314598,"['Lil Baby', 'Gunna', 'Drip Too Hard', 'Drip Too Hard']",Drip Too Hard,sqyNqxbCfO8,35780840
ZEZE,Kodak Black Featuring Travis Scott & Offset,10,UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,91185,67280,0,1573876,"['kodak', 'black', 'kodak black', 'atlantic records', 'atlantic', 'roll in peace', 'codeine dreaming', 'tunnel vision', 'drowning', 'transportin', 'heart break kodak', 'project baby 2', 'Zeze', 'Travis Scott', 'Offset', 'Sniper Gang', 'Migos', 'zcWqllTtns4', 'd-JBBNg8YKs', 'LPTlvQ1Zet0', 'Kodak Black Zeze', 'Zeze feat. Travis Scott & Offset', 'official audio', 'Kodak Black Zeze feat. Travis Scott & Offset', 'zeze feat. travis scott & offset kodak black', 'travis scott & offset zeze kodak black', 'offset zeze kodak black travis scott', 'Atlantic']",Kodak Black - ZEZE (feat. Travis Scott & Offset) [Official Audio],mjaayCARwro,146080436
Girls Like You,Maroon 5 Featuring Cardi B,10,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,457596,434539,0,11055211,"['Maroon', 'Girls', 'Like', 'You', 'Interscope', 'Records*', 'Pop']",Maroon 5 - Girls Like You ft. Cardi B,aJOTlE1K90k,1583535390
