Song_artist,Song_duration_weeks,Song_isNew,Song_last_week,Song_peak,Song_rank,Song_title,acousticness,categoryId,channelId,channelTitle,commentCount,danceability,dislikeCount,duration_ms,elapsed_days_s_released,energy,favoriteCount,fm_listeners,fm_playcount,instrumentalness,key,likeCount,liveness,loudness,market_count,markets,mode,popularity,release_date,speechiness,tempo,time_signature,title,track_id,valence,videoId,viewCount
Ariana Grande,6,FALSE,1,1,1,"Thank U, Next",0.28,10,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,663016,0.724,357697,207333,63,0.647,0,166839,3364369,0,1,8120132,0.102,-5.642,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,100,11/3/18,0.0658,106.96,4,"Ariana Grande - thank u, next",2rPE9A1vEgShuZxxzR2tZH,0.435,gl1aHhXnN1k,231732139
Halsey,10,FALSE,3,2,2,Without Me,0.297,10,UCm3FgJ2Hqm7tb70T-GfwXVA,HalseyVEVO,37929,0.752,25356,201660,93,0.488,0,100852,998477,9.11E-06,6,1157239,0.0936,-7.05,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,96,10/4/18,0.0705,136.041,4,Halsey - Without Me,5p7ujcrUXASCNwRaWNHR1C,0.533,ZAfAud_M_mg,61464289
Travis Scott,19,FALSE,2,1,3,Sicko Mode,0.00513,10,UClRx3MMyYUyqOxyEqA5F2nQ,TravisScottVEVO,126968,0.834,103542,312820,155,0.73,0,0,0,0,8,2102760,0.124,-3.714,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,95,8/3/18,0.222,155.008,4,Travis Scott - SICKO MODE ft. Drake,2xLMifQCjDGFmkHkpNLD9h,0.446,6ONRf7h3Mdk,169182559
Marshmello & Bastille,17,FALSE,4,3,4,Happier,0.191,10,UCEdvpU2pFRCVqU6yIPyTpMQ,Marshmello,213618,0.687,39980,214289,141,0.792,0,n/a,n/a,0,5,2630802,0.167,-2.749,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,95,8/17/18,0.0452,100.015,4,Marshmello ft. Bastille - Happier (Official Music Video),2dpaYNEQHiRxtZbfNsse99,0.671,m7Bc3pLyij0,127921439
Panic! At The Disco,19,FALSE,5,5,5,High Hopes,0.193,10,UColJTBTSGqaaZr5NOk5r3Pg,Panic! At The Disco,81771,0.579,32808,190946,197,0.904,0,117063,1015318,0,5,1534225,0.064,-2.729,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,92,6/22/18,0.0618,82.014,4,Panic! At The Disco - High Hopes (Official Video),1rqqCSm0Qe4I9rUvWncaom,0.681,IPXIgEAGe4U,109787227
Mariah Carey,28,FALSE,7,6,6,All I Want For Christmas Is You,0.164,10,UClS0wn3LPs9jdX_yt2g1k8w,MariahCareyVEVO,175093,0.335,113578,241106,9135,0.625,0,723183,3858078,0,7,2257748,0.0708,-7.462,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,95,1994,0.0386,150.277,4,Mariah Carey - All I Want For Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.346,yXQViqx6GMY,535714338
Post Malone & Swae Lee,8,FALSE,17,7,7,Sunflower (Spider-Man: Into The Spider-Verse),0.556,10,UCOhtMAg7xh8wv_wUHMgFc-Q,PostMaloneVEVO,78683,0.76,44637,158040,22,0.479,0,n/a,n/a,0,2,1977996,0.0703,-5.574,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,94,12/14/18,0.0466,89.911,4,"Post Malone, Swae Lee - Sunflower (Spider-Man: Into the Spider-Verse)",3KkXRkHbMCARz0aVfEt68P,0.913,ApXoWvfEYVU,163290858
Lil Baby & Gunna,13,FALSE,9,4,8,Drip Too Hard,0.103,10,UC_z9AthnCGSAk_tZf-KqoFA,Lil Baby - Topic,8120,0.896,21545,145542,92,0.671,0,n/a,n/a,0,1,314598,0.552,-6.977,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,85,10/5/18,0.289,112.502,4,Drip Too Hard,78QR3Wp35dqAhFEc2qAGjE,0.358,sqyNqxbCfO8,35780840
Kodak Black Featuring Travis Scott & Offset,9,FALSE,8,2,9,ZEZE,0.0521,10,UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,91185,0.861,67280,228759,22,0.603,0,593,1576,0,8,1573876,0.0924,-5.788,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",0,89,12/14/18,0.176,98.043,4,Kodak Black - ZEZE (feat. Travis Scott & Offset) [Official Audio],0FZ4Dmg8jJJAPJnvBIzD9z,0.504,mjaayCARwro,146080436
Maroon 5 Featuring Cardi B,29,FALSE,11,1,10,Girls Like You,0.568,10,UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,457596,0.851,434539,235545,220,0.541,0,39862,209713,0,0,11055211,0.13,-6.825,78,"['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']",1,89,5/30/18,0.0505,124.959,4,Maroon 5 - Girls Like You ft. Cardi B,6FRLCMO5TUHTexlWo8ym1W,0.448,aJOTlE1K90k,1583535390
